,Agent,Mass,Total TTE,Mean TTE,Completed Mission,Reward,Time Outside Corridor
26,LSTM Agent,10,305.66456044967526,0.5438871182378563,True,16915.957,0.5
27,LSTM Agent,12,710.8228005174819,1.2192500866509124,True,12909.042,0.5
28,LSTM Agent,14,603.5224293257604,1.0514328037034153,True,14003.493,0.5
29,LSTM Agent,16,454.239856439271,0.7858821045662129,True,15454.512,0.5
30,LSTM Agent,8,688.0559877195353,1.188352310396434,True,13129.148,0.5
31,LSTM Agent,10,319.8418582305744,0.5640949880609778,True,16780.984,0.5
32,LSTM Agent,12,672.9545178780479,1.1683238157604998,True,13337.941,0.5
33,LSTM Agent,14,609.423683160891,1.0805384453207287,True,13922.891,0.5
34,LSTM Agent,16,336.0123798782802,0.5947121767757172,True,16621.594,0.5
35,LSTM Agent,8,314.5128547235405,0.5596314140988266,True,16824.23,0.5
36,LSTM Agent,10,578.1858044320089,0.9816397358777741,True,14244.385,0.5
37,LSTM Agent,12,700.5281452133956,1.1974840089117875,True,13024.741,4.5
38,LSTM Agent,14,358.94999786525864,0.6330687793038071,True,16389.414,0.5
39,LSTM Agent,16,563.2870504518442,0.9882228955295511,True,14415.575,0.5
40,LSTM Agent,8,322.26549147479005,0.5703814008403364,True,16742.963,0.5
41,LSTM Agent,10,405.5855971466249,0.7140591499060297,True,15944.496,0.5
42,LSTM Agent,12,424.3200441693757,0.7550178721875013,True,15749.113,0.5
43,LSTM Agent,14,721.8831393695858,1.2822080628234207,True,12821.647,0.5
44,LSTM Agent,16,654.7635847065039,1.156826121389583,True,13466.305,0.5
45,LSTM Agent,8,329.7239659327222,0.5846169608736209,True,16668.797,0.5
46,LSTM Agent,10,479.24216105426996,0.8277066684875128,True,15244.58,0.5
47,LSTM Agent,12,352.16125972737234,0.6200022178298809,True,16474.822,0.5
48,LSTM Agent,14,686.1858182855283,1.2123424351334422,True,13179.906,6.5
49,LSTM Agent,16,618.8917214253966,1.0857749498691167,True,13823.666,0.5
50,LSTM Agent,8,840.0852787916341,1.4610178761593637,True,11621.262,0.5
51,LSTM Agent,10,832.6372342426012,1.4405488481705901,True,11732.668,0.5
52,LSTM Agent,12,729.2424724802843,1.2771321759724767,True,12739.884,0.5
53,LSTM Agent,14,552.5223121835369,0.9625824254068587,True,14509.447,0.5
54,LSTM Agent,16,819.626522842512,1.42296271326825,True,11847.176,0.5
55,LSTM Agent,8,1004.0538692016297,1.7865727209993412,True,9971.231,20.5
56,LSTM Agent,10,429.6726918618259,0.7459595344823367,True,15718.492,0.5
57,LSTM Agent,12,680.4759587072924,1.1896432844533085,True,13224.199,0.5
