,Agent,Changes,Total TTE,Mean TTE,Completed Mission,Reward,Time Outside Corridor
76,DI-RL,2,541.6332640606586,0.9569492297891494,True,14620.395,0.5
77,DI-RL,2,388.6888431688951,0.6916171586635145,True,16092.219,0.5
78,DI-RL,2,586.4500460341238,0.9856303294691157,True,14161.769,0.5
79,DI-RL,2,679.248134374124,1.183359119118683,True,13235.157,3.5
80,DI-RL,2,733.4316391736943,1.2844687200940355,True,12714.148,0.5
81,DI-RL,2,646.1035174746966,1.1496503869656522,True,13553.09,0.5
82,DI-RL,2,743.856107143565,1.2693790224292918,True,12606.475,0.5
83,DI-RL,2,905.0776891201135,1.571315432500197,True,10981.594,8.0
84,DI-RL,2,766.8268434203973,1.340606369616079,True,12393.293,0.5
85,DI-RL,2,642.4773829162825,1.0816117557513174,True,13600.641,0.5
86,DI-RL,2,856.5233287399067,1.5405095840645804,True,11488.155,0.5
87,DI-RL,2,514.2720753849959,0.9006516206392222,True,14862.352,0.5
88,DI-RL,2,681.713979185568,1.2173463914028,True,13218.341,0.5
89,DI-RL,2,761.8600234183675,1.3413028581309288,True,12433.546,0.5
90,DI-RL,2,806.2601040700318,1.412014192767131,True,11960.189,15.0
91,DI-RL,2,536.5840248896307,0.9413754822625099,True,14632.699,0.5
92,DI-RL,2,564.8248053331495,0.9704893562425249,True,14386.382,0.5
93,DI-RL,2,731.7715171175357,1.2997717888410936,True,12737.345,0.5
94,DI-RL,2,526.5957214176973,0.9287402494139282,True,14743.795,0.5
95,DI-RL,2,657.9385195981196,1.1854748100867019,True,13459.712,0.5
96,DI-RL,2,584.7580854517278,1.0460788648510335,True,14192.17,0.5
97,DI-RL,2,1286.2969987134468,2.244846420093275,True,7221.4287,20.5
98,DI-RL,2,387.26561761967616,0.678223498458277,True,16129.228,0.5
99,DI-RL,2,711.6522404721428,1.2227701726325477,True,12891.34,1.0
100,PID,3,1757.0443356507585,8.023033496122185,True,7434.7974,63.0
101,PID,3,2361.3006402546625,9.717286585410134,True,1441.197,74.0
102,PID,3,1508.833482060344,6.921254504863963,True,9842.914,54.5
103,PID,3,1811.9969554254126,8.427892815932152,True,6830.73,60.5
104,PID,3,1569.0988273481673,7.197701042881501,True,9259.838,62.0
105,PID,3,2459.816420920253,10.249235087167722,True,497.05493,80.0
106,PID,3,1755.157656427959,7.835525251910531,True,7363.5293,56.5
107,PID,3,3648.4496976814235,13.123919775832459,True,-11308.305,80.0
108,PID,3,5743.634228104,20.36749726278014,True,-32397.34,84.0
109,PID,3,2626.525778452544,7.679899936995742,True,-1196.1042,133.5
110,PID,3,2791.8311375712683,11.681301830842127,True,-2958.937,61.0
111,PID,3,1836.2317921364906,8.580522393161171,True,6551.827,69.0
112,PID,3,2236.3313053123,9.597988434816738,True,2622.611,69.5
113,PID,3,5091.24424065388,19.73350480873597,True,-25996.977,95.0
114,PID,3,3153.3695289313737,7.883423822328434,True,-6472.597,72.0
115,PID,3,2622.909940504461,11.020630002119583,True,-1185.2832,66.0
116,PID,3,2582.950214834114,10.852731995101319,True,-828.40137,74.0
117,PID,3,2084.176191101161,9.604498576503046,True,4180.328,70.5
118,PID,3,2497.0558798792226,8.029118584820651,True,-70.26367,109.0
119,PID,3,1801.123637200234,8.149880711313276,True,6917.046,56.5
120,PID,3,2469.3680927752675,11.379576464402154,True,371.4956,78.0
121,PID,3,2971.0893244210847,13.323270513099034,True,-4681.7812,80.0
122,PID,3,1655.6579501118258,7.6297601387641745,True,8361.391,59.5
123,PID,3,3878.4495557600617,17.709815323105303,True,-13687.425,80.0
124,PID,3,3652.548950458847,15.093177481234903,True,-11490.529,61.0
125,DI-RL,3,702.8067590851749,1.2550120697949552,True,13002.066,0.5
126,DI-RL,3,524.5036131220991,0.93494405191105,True,14784.91,0.5
127,DI-RL,3,533.4648032374778,0.9245490524046409,True,14697.639,0.5
128,DI-RL,3,614.6840980722415,1.0727471170545226,True,13866.912,0.5
129,DI-RL,3,635.7051352090898,1.1351877414448033,True,13648.7,2.0
130,DI-RL,3,586.4049111350281,1.045285046586503,True,14162.327,0.5
131,DI-RL,3,719.7119764071957,1.2302768827473431,True,12858.009,0.5
132,DI-RL,3,724.7445835475655,1.2827337761903814,True,12786.814,0.5
133,DI-RL,3,527.3017567490336,0.9449852271488058,True,14731.494,0.5
134,DI-RL,3,455.76906554977086,0.7967990656464525,True,15444.634,0.5
135,DI-RL,3,507.971976504046,0.916916925097556,True,14924.104,0.5
136,DI-RL,3,458.0688164487739,0.7994220182352074,True,15444.621,5.0
137,DI-RL,3,747.0539633101653,1.2947209069500265,True,12567.084,0.5
138,DI-RL,3,617.4582904072306,1.068266938420814,True,13892.398,0.5
139,DI-RL,3,459.8980488890274,0.8040175679878101,True,15395.945,0.5
140,DI-RL,3,540.4035499568294,0.9269357632192613,True,14609.693,0.5
141,DI-RL,3,503.3867426317828,0.8488815221446591,True,14970.142,0.5
142,DI-RL,3,568.8566485006461,1.0140047210350198,True,14325.178,0.5
143,DI-RL,3,1314.1923206287756,2.242649011311904,True,6914.968,30.5
144,DI-RL,3,984.8656914718404,1.7039198814391703,True,10260.127,16.0
145,DI-RL,3,568.6108442942302,1.0028409952279194,True,14339.397,0.5
146,DI-RL,3,586.8170069607281,1.0259038583229512,True,14171.364,0.5
147,DI-RL,3,564.1700157725516,0.964393189354789,True,14362.611,0.5
148,DI-RL,3,472.58672755734045,0.8364366859421954,True,15272.42,0.5
149,DI-RL,3,371.8951752542067,0.671290930061745,True,16273.267,0.5
