,Agent,Changes,Total TTE,Mean TTE,Completed Mission,Reward,Time Outside Corridor,Mass
24,Oracle Agent,,1106.4228616695277,1.8379117303480528,True,9009.492,0.5,4.0
25,Oracle Agent,,1137.28852338173,1.8954808723028835,True,8684.314,0.5,6.0
26,Oracle Agent,,637.4101863612156,1.0659033216742735,True,13643.372,0.5,8.0
27,Oracle Agent,,641.6178499205291,1.0747367670360621,True,13605.816,0.5,10.0
28,Oracle Agent,,1008.2646157156348,1.6776449512739349,True,9987.102,0.5,12.0
29,Oracle Agent,,710.8718028387009,1.1987720115323792,True,12904.018,0.5,14.0
30,Oracle Agent,,971.5829251019638,1.6139251247540927,True,10330.327,0.5,16.0
31,Oracle Agent,,570.3068582707152,0.955287869800193,True,14297.402,0.5,18.0
32,Oracle Agent,,978.074487090558,1.6193286210108577,True,10314.615,0.5,4.0
33,Oracle Agent,,577.2638747580872,0.9784133470476055,True,14237.744,0.5,6.0
34,Oracle Agent,,1061.2367126271868,1.7657848795793456,True,9443.739,0.5,8.0
35,Oracle Agent,,826.4252406738335,1.3659921333451794,True,11784.45,0.5,10.0
36,Oracle Agent,,423.9127684557288,0.7018423318803456,True,15736.847,6.0,12.0
37,Oracle Agent,,646.1277352691062,1.0932787398800443,True,13542.225,0.5,14.0
38,Oracle Agent,,513.7282402607034,0.863408807160846,True,14874.176,0.5,16.0
39,Oracle Agent,,807.5233058676789,1.3571820266683678,True,11949.512,0.5,18.0
40,Oracle Agent,,1161.9551823396805,1.9111104972692115,True,8514.119,0.5,4.0
41,Oracle Agent,,788.4927906197858,1.3076165681920162,True,12140.842,0.5,6.0
42,Oracle Agent,,796.7222085441472,1.3390289219229365,True,12082.211,0.5,8.0
43,Oracle Agent,,619.1268737672809,1.0547306197057598,True,13823.395,0.5,10.0
44,Oracle Agent,,1121.6780123640963,1.8328072097452555,True,8841.11,0.5,12.0
45,Oracle Agent,,1214.8476660277033,2.008012671120171,True,7966.8237,0.5,14.0
46,Oracle Agent,,828.5848892374943,1.3902431027474735,True,11746.369,0.5,16.0
47,Oracle Agent,,486.81831380594537,0.8223282327803131,True,15120.471,0.5,18.0
48,Oracle Agent,,490.30882561305884,0.8324428278659742,True,15095.205,0.5,4.0
49,Oracle Agent,,690.0110668138827,1.1577366892850383,True,13118.477,0.5,6.0
50,Oracle Agent,,502.91406992877415,0.8452337309727297,True,14965.803,0.5,8.0
51,Oracle Agent,,1088.2657291701735,1.8077503806813513,True,9196.383,0.5,10.0
52,Oracle Agent,,892.600729495392,1.4926433603601872,True,11108.799,0.5,12.0
53,Oracle Agent,,849.2696397812854,1.4178124203360356,True,11559.898,0.5,14.0
54,Oracle Agent,,789.1852969601418,1.315308828266903,True,12151.637,0.5,16.0
55,Oracle Agent,,756.279966476518,1.2731985967618147,True,12465.906,0.5,18.0
56,Oracle Agent,,602.3932715460151,1.0210055449932458,True,13997.496,0.5,4.0
57,Oracle Agent,,1187.4722572561323,1.9121936509760584,True,8195.601,10.5,6.0
58,Oracle Agent,,1066.1853734831352,1.7507148989870858,True,9389.6455,0.5,8.0
59,Oracle Agent,,465.9380622830961,0.787057537640365,True,15333.618,0.5,10.0
60,Oracle Agent,,607.1100338254372,1.0237943234830307,True,13940.574,0.5,12.0
61,Oracle Agent,,526.0568269648733,0.8782250867527099,True,14744.155,0.5,14.0
62,Oracle Agent,,471.2981906599488,0.7961118085472108,True,15292.144,0.5,16.0
63,Oracle Agent,,490.16441471684175,0.8251926173684204,True,15087.455,0.5,18.0
64,Oracle Agent,,723.287502835832,1.2217694304659326,True,12797.789,0.5,4.0
65,Oracle Agent,,579.663190858475,0.9644978217279118,True,14214.589,0.5,6.0
66,Oracle Agent,,1005.9182281106588,1.6571964219285977,True,9982.941,0.5,8.0
67,Oracle Agent,,691.4432070168201,1.1504878652526125,True,13104.857,0.5,10.0
68,Oracle Agent,,737.2356043205662,1.2390514358328844,True,12667.926,0.5,12.0
69,Oracle Agent,,573.4584681035802,0.9719635052603055,True,14268.729,0.5,14.0
70,Oracle Agent,,892.4148198560338,1.5023818516094845,True,11117.959,0.5,16.0
71,Oracle Agent,,740.794897908567,1.249232542847499,True,12638.67,0.5,18.0
72,Oracle Agent,,478.62207575712665,0.8098512280154427,True,15206.275,0.5,4.0
